PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate
9a5Pf,8/1p4p1/pBp1b3/7p/PPk4P/5P2/6P1/6K1 w - - 1 33,b6c5 a6a5 c5f8 a5b4,1971,76,92,1717,bishopEndgame crushing endgame short,https://lichess.org/6JcT1yv5#65,,
9b34H,r1b1k2r/pp1nq3/2p5/3p1p2/3PnN1p/1Q1BP1p1/PP1N1PPP/2RR2K1 w kq - 0 19,f2g3 e4d2 d1d2 e7e3 g1f1 e3d2 c1e1 e8f7,2351,80,85,134,attraction crushing defensiveMove discoveredAttack fork middlegame veryLong,https://lichess.org/r1pkaPc3#37,Queens_Pawn_Game Queens_Pawn_Game_Zukertort_Variation,
9b7r7,6k1/1p4pp/5n2/p1QN4/P2Pp1P1/1PK1P2P/8/4q3 w - - 3 34,c3c4 e1f1 c4c3 f1c1,2317,82,79,137,endgame mate mateIn2 short,https://lichess.org/qLyyjcNU#67,,
9bRWt,2r3k1/p1p3pp/2Q1b1q1/3p4/7P/1P2p1N1/Pr4P1/5R1K b - - 0 26,g6g3 c6e6 g8h8 e6c8,972,77,85,192,backRankMate endgame fork hangingPiece mate mateIn2 short,https://lichess.org/vSLPielX/black#52,,
9bt0L,rk1q3r/4p2p/3p1bp1/1R3b2/p1p5/K1P2Q2/PP3B1P/8 b - - 1 32,b8c8 f3b7,1781,79,85,348,mate mateIn1 middlegame oneMove,https://lichess.org/5m1Q7Eh7/black#64,,
9c5FY,r4rk1/1pp2qb1/3pb2p/4p1P1/p1P1N3/1P1Q1p1P/PB3P2/2KR2R1 b - - 0 25,h6h5 e4f6 g7f6 g5f6,1588,75,90,2294,crushing discoveredAttack discoveredCheck kingsideAttack master masterVsMaster middlegame short,https://lichess.org/cSxxKsyW/black#50,,
9cEhy,3r1r1k/ppp3pp/2n1R3/2b5/1PB5/2p1B3/P4PPP/R5K1 b - - 1 15,c3c2 e3c5 d8d1 e6e1 d1a1 e1a1,1945,77,93,11478,advantage hangingPiece long middlegame,https://lichess.org/tLJOhKqO/black#30,Italian_Game Italian_Game_Scotch_Gambit,
9cGpe,3r4/1pq2pk1/p2b4/3p1R1Q/3P3P/P1P5/1P4P1/6K1 b - - 2 34,d8g8 f5g5 g7f8 h5h6 f8e7 g5g8,1535,77,97,4207,crushing deflection endgame long,https://lichess.org/MUPApU7L/black#68,,
9dEoT,r3r3/2R5/5k2/p1R3p1/Pp1p4/8/1P3P1P/7K w - - 0 45,c7c6 e8e6 c6e6 f6e6,808,88,84,249,advantage defensiveMove endgame rookEndgame short,https://lichess.org/jU7bTsmZ#89,,
9dmZF,8/6k1/5p2/p2P1Q1p/4P1pP/6P1/8/3q1K2 w - - 7 59,f1g2 d1f3 f5f3 g4f3,1672,76,83,130,crushing endgame queenEndgame short,https://lichess.org/D3vOPNy7#117,,
9dysU,2krr3/1p3p1p/p4P2/2p3p1/8/1QNK1Bb1/PP4P1/R3R2q w - - 6 24,c3d5 e8e1 a1e1 h1e1,1729,78,89,414,advantage middlegame short,https://lichess.org/kS8Kn4TN#47,,
9e80j,4Q3/6kp/5p2/2P3p1/5nP1/4KP2/r6P/8 w - - 4 44,c5c6 a2e2 e3d4 e2e8,1346,77,92,2766,crushing endgame master short skewer,https://lichess.org/ciQY1Iq2#87,,
9eKT2,2b1R3/2b4k/p2q2rp/1ppP1p2/2P2p2/1P4RP/PB3PP1/1B4K1 b - - 0 33,f4g3 e8h8,1204,76,54,188,master mate mateIn1 middlegame oneMove,https://lichess.org/w79vvmwd/black#66,,
9ePUK,r5k1/p4ppp/3ppq2/2p5/1pP5/1P1P1Q1P/PR3PP1/5RK1 b - - 0 21,f6b2 f3a8,747,92,79,187,backRankMate endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/xZqmuBSW/black#42,,
9fO7Z,r1bqk1nr/pp3pbp/6p1/2p1p3/2PnP3/2N1B3/PP2NPPP/R2QKB1R w KQkq - 0 9,g2g3 d4f3,1010,85,94,115,mate mateIn1 oneMove opening,https://lichess.org/9rHlotm7#17,Queens_Pawn_Game Queens_Pawn_Game_Modern_Defense,
9foZd,5k2/N4p1p/1p4p1/2p5/2P5/1P3P2/P1n1rPKP/R7 w - - 7 29,a1d1 c2e3 g2g1 e3d1,974,77,98,918,crushing endgame pin short,https://lichess.org/t7gbXvdY#57,,
9frtl,4rq2/p4p1k/b2p1n2/2p2NQ1/2p5/2P2P2/P5PP/5RK1 b - - 4 24,f6g8 g5h5 g8h6 f5h6,1411,75,83,315,crushing master middlegame short,https://lichess.org/fK50N26c/black#48,,
9g1TV,8/P4p2/1R3Pk1/6p1/4K1Pp/7r/1p6/8 b - - 1 55,h3h1 a7a8q b2b1q b6b1,1242,77,79,425,advancedPawn crushing endgame master promotion short,https://lichess.org/YcbH7lF0/black#110,,
9gJtc,r2qk2r/ppp2pb1/2n4n/3pP3/3P1B2/5P2/PPP5/RN1QKB1R w KQkq - 0 11,b1c3 h6f5 h1h8 g7h8 d1d2 d8h4,1840,77,91,1659,advantage long opening,https://lichess.org/nQ3xCfiG#21,Kings_Gambit_Accepted Kings_Gambit_Accepted_Rosentreter_Gambit,
9gXXe,4rr1k/2pq2pp/p2b4/3Q4/4p3/2N1Bp2/PPP3PP/R3R1K1 w - - 2 19,d5d2 f3f2 d2f2 f8f2,1718,76,94,2471,advancedPawn advantage fork master middlegame short,https://lichess.org/fgjn5KEG#37,Ruy_Lopez Ruy_Lopez_Open,
9grzS,7k/pp6/1np2pQp/3p4/3P2p1/2P1q2B/PP2r1P1/R4RK1 w - - 2 34,g1h2 e3h3 h2g1 h3g2,1480,76,95,2446,mate mateIn2 middlegame pin short,https://lichess.org/9BygSOiW#67,,
9hQqk,4r2k/1p1q1pb1/p2P3p/2Q5/P3N1p1/1P1n2N1/R4PPP/6K1 w - - 1 28,c5d5 d3b4 d5d2 b4a2,1593,76,94,15341,advantage fork middlegame short,https://lichess.org/s7hoNlPL#55,,
9iahw,r7/p2b1k1R/2pP4/1p2q1p1/2p5/4b1N1/PPQ5/1K6 b - - 3 39,f7e6 h7e7 e6d6 e7e5,1642,74,88,188,advantage middlegame short skewer,https://lichess.org/f66Rr9nm/black#78,,
9ikse,4B3/1k4p1/5p1p/P1P4P/3P4/4KP2/8/6r1 w - - 1 50,e3e4 g1e1 e4f5 e1e8,877,80,88,124,crushing endgame short skewer,https://lichess.org/4iemR8d9#99,,
9jlkH,8/8/8/1r5k/5R1P/6K1/8/8 w - - 1 56,f4g4 b5b3 g3f4 b3b4,766,81,100,117,crushing endgame rookEndgame short,https://lichess.org/lGRHMb9w#111,,
9jmOm,4r1k1/4b3/1p2P1q1/1P3p1p/3B1P2/1Q4PP/8/4R1K1 w - - 0 42,b3d5 e8d8 d5f3 d8d4,2366,90,86,189,advantage endgame master short skewer,https://lichess.org/8t32NNiW#83,,
9ki53,r6q/p1pkbQ2/b1p1p3/3p4/3P4/2N5/PPP2PPP/2KR3R w - - 2 18,d1e1 h8h6 f2f4 a8f8 f7e6 h6e6 e1e6 d7e6,1610,75,95,3994,advantage middlegame veryLong,https://lichess.org/03ZBYeQE#35,French_Defense French_Defense_Advance_Variation,
9kwm3,6k1/p6p/2p2p2/B1Pq2p1/3pR1P1/Pr3n2/5PKP/3Q4 b - - 1 29,d5e4 d1b3 g8g7 b3f3,1417,77,90,1302,crushing endgame hangingPiece short,https://lichess.org/3ri0Mbl3/black#58,,
9kzVR,4r3/p2k1p2/bp1q2p1/3R4/3p4/1N3B2/P4PP1/6KR b - - 1 29,d6d5 f3d5 e8e1 g1h2 e1h1 h2h1,787,108,95,511,advantage endgame hangingPiece long,https://lichess.org/xGchvif1/black#58,,
9llxt,r2q1rk1/3bppb1/3p1np1/1p1N4/3BP3/1P3P2/PP1Q2P1/R3K2R b KQ - 0 16,e7e5 d4b6 f6d5 b6d8,1882,76,93,553,advantage master middlegame short,https://lichess.org/17t1D2LL/black#32,Sicilian_Defense Sicilian_Defense_Classical_Variation,
9nZsp,5Q2/1p6/4pk1p/3pNp1b/p2P4/P3P1q1/1P1n2P1/2r2BK1 b - - 13 38,f6g5 f8e7,2001,76,95,3300,mate mateIn1 middlegame oneMove,https://lichess.org/v7Tr2K3X/black#76,,
