PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate
bG1fn,5r2/p5k1/1p6/3PpK2/2P5/8/P7/4R3 w - - 0 41,f5e5 f8e8 e5d6 e8e1,885,88,95,1410,crushing endgame master rookEndgame short skewer,https://lichess.org/y0tTgq8y#81,,
bGord,7k/7p/p1bN4/2P1p3/1P4r1/P1K5/4N3/8 b - - 6 37,c6b5 d6b5 a6b5 a3a4,2291,80,90,477,advantage endgame short,https://lichess.org/cH6JiMag/black#74,,
bGwCJ,8/8/8/5pK1/5P2/5kPp/7P/8 w - - 2 58,g5h4 f3g2 g3g4 g2h2 g4g5 h2g2 g5g6 h3h2,2006,76,90,1718,advancedPawn crushing endgame pawnEndgame veryLong,https://lichess.org/5uzRNPSO#115,,
bHecf,8/8/1k1q3p/1P4p1/6P1/5PKP/1Q6/8 w - - 7 55,g3f2 d6h2 f2e3 h2b2,1254,82,89,1086,crushing endgame queenEndgame short skewer,https://lichess.org/EPVhuoiz#109,,
bHug8,8/1P3p2/2K5/4p1k1/8/2R5/8/1r6 b - - 2 51,e5e4 c3c5 g5g4 c5b5 b1b5 c6b5 e4e3 b7b8q,1434,81,94,743,advancedPawn crushing endgame master promotion rookEndgame veryLong,https://lichess.org/I1uagiGR/black#102,,
bICUg,2rqr1k1/p2n1ppp/3Bb3/3p4/2p5/1P1N1PQ1/P1P3PP/R3R1K1 w - - 0 23,d3f4 d8b6 g3f2 b6d6,1470,74,87,466,crushing fork master middlegame short,https://lichess.org/X7s3HvvR#45,,
bIGrp,8/8/P7/1R6/3r4/1P1p1p2/3K4/5k2 b - - 0 76,f3f2 a6a7 d4d8 b5b8,1488,79,94,3809,advancedPawn crushing endgame rookEndgame short,https://lichess.org/OR9FtcxV/black#152,,
bIQXI,1r2k3/p1p2Np1/1np1p1p1/4P3/3P2P1/2PQB1b1/q6r/1R1K1R2 b - - 0 26,b6d5 b1b8 e8d7 b8d8 d7e7 e3g5 d5f6 e5f6 g7f6 g5f6,1962,78,90,126,crushing exposedKing hangingPiece middlegame veryLong,https://lichess.org/MQhRU0ox/black#52,,
bIQyS,1r1qb1k1/p5pp/4Pb2/2p5/4BN2/2Q3P1/PP5P/5RK1 w - - 3 25,c3c5 f6d4 g1h1 d4c5,1025,76,100,252,crushing fork middlegame short,https://lichess.org/V25M9R2l#49,,
bIf0S,r3k2r/1b1p1ppp/p7/1p1qP3/8/2B5/PP3PPP/R2Q1RK1 w kq - 2 18,f1e1 d5g2,750,94,87,269,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/0nrB0fI5#35,French_Defense French_Defense_Knight_Variation,
bIzOD,8/6RP/4k3/3p4/2n5/8/ppb4K/B7 w - - 0 56,g7g6 c2g6 h7h8q b2b1q,1713,78,89,2654,advancedPawn crushing endgame hangingPiece master promotion short,https://lichess.org/pEIF5NIl#111,,
bJXxv,r6r/1p3ppp/p1k5/3p4/1q1b2Q1/1P6/P1P2PPP/1RB2RK1 w - - 5 22,a2a3 d4f2 f1f2 b4g4,1335,75,87,440,crushing discoveredAttack kingsideAttack middlegame short,https://lichess.org/UnOX1vpg#43,,
bJrP8,4kr2/5p1p/1n2p3/p2PP1Q1/Ppb5/1B6/1P3PPP/1r1N2K1 w - - 4 27,b3c4 b6c4 h2h3 b1d1 g1h2 d1d5,1848,74,82,442,advantage endgame long pin,https://lichess.org/x0wVNxCj#53,,
bJwy5,r4rk1/pp3ppp/3B4/3p4/6nP/P1N2qPb/1PP2P2/R1Q1RBK1 w - - 3 19,f1h3 f3f2 g1h1 f2h2,851,97,96,248,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/D16YB9h1#37,Yusupov-Rubinstein_System Yusupov-Rubinstein_System_Other_variations,
bKK2e,3rr1k1/pp1q2pp/2n1bp2/8/4QB2/1P3N2/P4PPP/3RR1K1 b - - 4 18,e6d5 e4d5 d7d5 e1e8 d8e8 d1d5,2059,75,95,2380,advantage deflection discoveredAttack kingsideAttack long middlegame,https://lichess.org/hxa37z9M/black#36,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit_Accepted,
bKgw9,3rq1k1/2p2pp1/p6p/P4B2/8/8/3B1PPP/Q5K1 w - - 1 25,d2e3 e8e5 a1c1 e5f5,1981,75,93,4171,advantage endgame short,https://lichess.org/Neo1gmwq#49,,
bL0r4,r1b2k2/pppp2p1/2n2q2/4p3/4B2b/8/PPPP2PP/RNBQ1K1R w - - 1 12,f1g1 f6f2,977,77,89,317,mate mateIn1 middlegame oneMove,https://lichess.org/RU4r7kJz#23,Italian_Game Italian_Game_Two_Knights_Defense,
bL9WL,3r2k1/1p3p2/p2p2p1/2pR4/2P4p/P7/KP4q1/4Q3 b - - 1 32,d8d7 e1e8 g8g7 e8d7,920,105,94,792,advantage endgame fork short,https://lichess.org/DJrOvZq0/black#64,,
bLTzL,r2R4/p1p3k1/bp2p1p1/4p3/6q1/1Q2B3/PP3P2/3RKB1r w - - 2 28,d8a8 g4e2,2081,77,94,3487,epauletteMate mate mateIn1 middlegame oneMove pin,https://lichess.org/pfayMIhf#55,,
bMIj7,8/1p4kp/4pbp1/2p5/2Pp3P/1P3PP1/PB4K1/8 b - - 0 31,d4d3 b2f6 g7f6 g2f2 d3d2 f2e2 d2d1r e2d1,1303,76,100,3090,advantage bishopEndgame endgame veryLong,https://lichess.org/rECXM8wS/black#62,,
bMVWV,r2qkb1r/1p2pppp/p7/2p1N2b/2B5/P1PP3P/2P2PP1/R1BQ1RK1 b kq - 0 11,h5d1 c4f7,1097,78,99,1333,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/Tu3JqpOH/black#22,Sicilian_Defense Sicilian_Defense_Old_Sicilian,
bMbrh,rnb1k2r/ppppqppp/8/4N3/4n3/P1P5/1PP2PPP/R1BQKB1R w KQkq - 1 7,d1d5 e4f6 d5f7 e7f7 e5f7 e8f7,1810,77,93,3106,advantage long opening,https://lichess.org/B5hoaG1w#13,Russian_Game Russian_Game_Three_Knights_Game,
bMm30,5nN1/R7/1p2p2k/1P1pPp2/P5p1/6P1/r4PK1/8 b - - 1 52,h6g5 a7g7 g5h5 g8f6 h5h6 g7f7,2250,99,87,561,crushing endgame long master,https://lichess.org/yz8Q6R2I/black#104,,
bOMUJ,6k1/p2p1p2/2p5/1b4R1/8/2P3BP/r1P3PK/8 b - - 0 27,g8f8 g3d6 f8e8 g5g8,897,98,91,1134,endgame mate mateIn2 pillsburysMate short,https://lichess.org/hy8tFtC4/black#54,,
bOWT1,rn2k2r/pR2p1bp/q2p2p1/2pP1bBP/4N3/5P2/2P1Q1P1/5KNR b kq - 2 15,a6b7 e4d6 e8d8 d6b7,1285,77,92,1396,crushing middlegame pin short,https://lichess.org/CxdDz8Sz/black#30,Benoni_Defense Benoni_Defense_Old_Benoni,
bPqsv,2k5/3p2r1/p7/1p1Q1P2/5R1p/P2Pr2q/1PP3P1/6RK w - - 0 35,g2h3 e3h3,852,77,100,244,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/ZTJdE59R#69,,
bQSqH,8/1R3pk1/2bqp1p1/3p4/5N2/r2BQ1P1/5PK1/8 w - - 6 44,b7b6 d5d4 b6c6 d6c6,1402,79,94,2680,advantage discoveredAttack discoveredCheck master middlegame short,https://lichess.org/OQSfvcDK#87,,
bR6h2,4kr2/ppq1b1QR/4p1P1/4P1B1/3r4/1P4P1/P5bK/8 b - - 3 30,d4d7 g7f7 f8f7 g6f7 e8f8 g5h6,2230,76,93,13548,advancedPawn attackingF2F7 exposedKing long mate mateIn3 middlegame sacrifice,https://lichess.org/AQVrbjvR/black#60,,
bR7gq,r3k2r/p2q1pp1/7p/3Nb3/4Q3/2P5/PP4PP/R1B4K b kq - 1 19,f7f6 d5f6 g7f6 e4a8 e8f7 a8f3,2251,76,92,5572,advantage discoveredAttack exposedKing long middlegame pin,https://lichess.org/DCnBDxoo/black#38,Sicilian_Defense Sicilian_Defense_Bowdler_Attack,
bRO4W,5rk1/p5bp/bp3np1/2p1p3/2P1P3/q2r1N2/3BBPPQ/3RK2R w K - 0 22,e2d3 a3d3 f3e5 d3e4,1148,81,92,440,crushing middlegame short,https://lichess.org/W1Y1cNvY#43,,
bS7ut,3q1rk1/Q4ppp/4p3/3n4/2pP4/2P1P3/3NKPPP/1R6 w - - 3 20,d2c4 d5c3 e2d3 c3b1,783,80,100,212,advantage endgame fork short,https://lichess.org/FaRplXRh#39,,
bS8cP,4Q3/1pk4r/7q/3p4/3P4/R5P1/P4P1P/5RK1 w - - 3 32,f1c1 h6c1 g1g2 c1a3,1704,76,100,780,advantage endgame fork hangingPiece short,https://lichess.org/7pHoUfSL#63,,
bSQbr,1r2k2r/p4pp1/1p2q1p1/2b1Pn2/8/2N5/PP2Q1PP/R1BR2K1 w k - 1 20,g1h1 f5g3,878,80,66,108,mate mateIn1 middlegame oneMove pin,https://lichess.org/zLcoSZvR#39,,
bSTRB,r2q1b1r/1p4p1/1k2p2p/p1pPBP2/P2p4/3Q4/1P3PPP/R4RK1 b - - 0 20,d8d5 d3b5 b6a7 b5a5,1225,83,93,812,deflection mate mateIn2 middlegame short,https://lichess.org/gGGcgbsO/black#40,,
bTLrd,r2q1rk1/2p2pp1/pbp1P1np/3p4/3P2b1/2NQ1N2/PP3PPP/R1B1R1K1 b - - 0 14,g4e6 e1e6 f7e6 d3g6,1566,76,87,556,advantage deflection opening short,https://lichess.org/x0hM2ndD/black#28,Scotch_Game Scotch_Game_Scotch_Gambit,
bTRqG,1k1r4/ppp3pp/8/1q1Bn3/4P1Q1/8/P4P1P/2R2RK1 w - - 0 26,g4g5 e5f3 g1g2 f3g5,955,76,98,1545,crushing fork master middlegame short,https://lichess.org/lUvfQ3AB#51,,
bTdby,rn1q1b1r/pp2pkpn/2p1p1Qp/3p3P/3P2P1/8/PPP2P2/RNB1K1NR b KQ - 3 11,f7g8 g6e6,1312,76,91,2171,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/Md2hUCav/black#22,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation,
bTz4Q,r1r3k1/pq3ppp/2nb1p2/1B1N1b2/2Q5/8/PPPB1PPP/1K1R3R w - - 3 18,d2c3 c6b4 d5b4 c8c4,2341,88,85,371,advantage discoveredAttack master masterVsMaster middlegame short,https://lichess.org/7rctOuiG#35,Caro-Kann_Defense Caro-Kann_Defense_Forgacs_Variation,
bU8QQ,4r1k1/1pp2ppp/p1nr4/6BQ/3P4/1BP5/P1PK1qPP/R3R3 w - - 0 20,d2d3 d6d4 c3d4 f2d4,2239,80,78,125,mate mateIn2 middlegame sacrifice short,https://lichess.org/d4hkQ0pf#39,,
bUD89,5b2/4kp1p/1p2p1p1/1B1bQn2/3P1B2/7P/5PPK/q7 b - - 5 33,a1d4 f4g5 f7f6 e5c7,2297,78,86,245,mate mateIn2 middlegame short,https://lichess.org/ZDBlSs1Z/black#66,,
bUrEy,3rr1k1/p3q1Pp/1pb1p2Q/3p1p2/5P2/2NB2P1/PPPK3P/4R3 w - - 0 20,e1e6 e7e6 h6e6 e8e6,813,96,60,178,crushing middlegame short,https://lichess.org/H3Ld2ksM#39,,
bV1mE,2b2r2/p3k1p1/1p2p2p/8/2P1B3/2N4P/PP3bP1/2K4R w - - 2 20,h1f1 f2e3 c1d1 f8f1,765,103,68,171,crushing discoveredAttack endgame short,https://lichess.org/UkJMqJ7M#39,,
bVkwm,r4rk1/p4ppp/2pq4/2Np2B1/4n1b1/3Q1N2/PPP2PPP/R3R1K1 b - - 0 14,g4f3 c5e4 f3e4 e1e4,1594,75,94,11622,advantage middlegame short,https://lichess.org/xmttdCRC/black#28,Sicilian_Defense Sicilian_Defense_Marshall_Gambit,
bWdp7,2Q5/8/5K2/p7/2P5/2q5/3k4/8 w - - 2 59,f6e6 c3h3 e6d5 h3c8,1308,80,91,1220,crushing endgame master queenEndgame short skewer,https://lichess.org/QeBXc4S7#117,,
bWkFs,8/8/3k3p/2pP1pp1/2K5/5PPP/8/8 w - - 0 47,f3f4 g5g4 h3g4 f5g4 f4f5 h6h5 f5f6 h5h4,2103,81,91,1553,crushing endgame pawnEndgame quietMove veryLong,https://lichess.org/AiG1yfAW#93,,
bWnkH,2r2r2/pp1N2bk/1q2p1pp/3pPp2/1n1P1P2/4B1P1/1P1Q3P/R4BK1 b - - 3 25,c8c2 d7b6 c2d2 e3d2,1751,75,100,561,advantage master middlegame short,https://lichess.org/n5v7CFKY/black#50,,
bXRtC,8/8/2P1n3/3N1kp1/K3R3/6r1/8/8 w - - 5 49,e4e6 f5e6 c6c7 e6d7,1626,78,87,468,crushing endgame hangingPiece master short,https://lichess.org/UONYKpMC#97,,
bXTgJ,r2qkb1r/pb2p2p/2ppQnp1/8/3P4/3B1N2/PPP2PPP/RN2K2R w KQkq - 0 12,f3g5 d8a5 b1c3 a5g5,1368,76,87,552,advantage fork opening short,https://lichess.org/mG6ZTkfa#23,Polish_Defense Polish_Defense_Other_variations,
bXzYY,6k1/1b3ppp/p2p3P/1p2nQP1/4P3/2rBq3/P1PR4/2K4R w - - 0 23,h6g7 e5d3 c1b1 b7e4,1992,75,95,3961,advantage master middlegame pin queensideAttack short,https://lichess.org/PdJ3iAvv#45,,
bY5ep,4R3/2p2pk1/3b2q1/7p/8/2QP1N2/1P4r1/1K6 b - - 7 34,g6f6 e8g8 g7g8 c3f6,1143,79,85,692,crushing deflection endgame pin short,https://lichess.org/Bt3QrkKI/black#68,,
bYCqu,rn2kb1r/pp2pppp/2p2n2/2PpN2b/1q1P4/7Q/PP1BPPPP/RN2KB1R b KQkq - 2 8,b4d4 h3c8,1500,103,75,100,mate mateIn1 oneMove opening,https://lichess.org/uL0cqoH0/black#16,Slav_Defense Slav_Defense_Modern_Line,
bYYaN,4r1k1/p1bQ1ppp/8/8/1q6/4PN2/3R1PPP/4K3 b - - 1 28,e8d8 d7c7 b4b1 e1e2,2103,85,91,5134,advantage defensiveMove endgame hangingPiece short,https://lichess.org/k5bBDuka/black#56,,
bZciw,5rk1/qpr1bppp/2n1p1n1/1R1pP3/P2P4/4B1N1/1Q2BPPP/1R4K1 w - - 7 20,b5b7 c7b7 b2b7 f8b8 b7c6 b8b1,1823,77,93,273,advantage long middlegame skewer,https://lichess.org/PTSbSTdA#39,,
bZgjB,3r2k1/5pp1/p4P1p/5q2/1P1B4/P1P1p1b1/3Q2P1/1R4KR w - - 0 27,d2e3 f5b1 e3c1 b1c1,1155,78,73,163,hangingPiece mate mateIn2 middlegame short,https://lichess.org/cRRPBXp8#53,,
baDiW,r2q1rk1/ppp3pp/8/4p2b/3PPn2/P4N1P/1P2BPP1/R2QR1K1 b - - 0 20,f4g2 g1g2 h5f3 e2f3,1502,76,88,227,advantage hangingPiece middlegame short,https://lichess.org/oxpsgVok/black#40,,
baqvM,2r3k1/5p2/4pBp1/1p2Pn2/6Q1/2P1q3/6KP/3R4 b - - 4 41,c8c3 d1d8 g8h7 d8h8,1296,89,92,489,endgame mate mateIn2 operaMate short,https://lichess.org/LYUjjoDb/black#82,,
batYi,r3qnk1/pp1nr3/2pb4/5p1p/2QPNp1P/1P3R2/PB4PN/4R1K1 b - - 1 27,e8f7 c4f7 e7f7 e4d6,1720,77,93,3357,crushing kingsideAttack middlegame short,https://lichess.org/0P90DBYj/black#54,,
bbw74,8/5pkp/1bN3p1/1P1R2P1/4KP2/1r4P1/8/8 w - - 7 38,c6e5 b3e3,1444,96,85,252,endgame master mate mateIn1 oneMove operaMate,https://lichess.org/ENS2pMZm#75,,
bdHLI,5rk1/p1N1b1pp/1p1p4/2pPn1q1/4PNb1/QP6/P4RPP/3B2K1 w - - 13 27,c7e6 g4e6 d5e6 f8f4 f2f4 g5f4,1861,75,80,174,crushing long middlegame,https://lichess.org/wWjbI25i#53,,
bdITu,N1bk1b1r/pp1pqppp/5n2/n3p3/2B1P3/1Q6/PP3PPP/R1B1K1NR w KQ - 1 10,b3a4 e7b4 a4b4 f8b4 c1d2 b4d2,1739,76,97,2044,advantage long opening,https://lichess.org/AWDhjin9#19,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit_Accepted,
bdeJ6,4r1k1/1p1q1bpp/3p4/p2P4/3Qp3/5BB1/1P4PP/1K1R4 w - - 0 29,f3e4 e8e4 d4e4 f7g6 e4g6 h7g6,1464,73,95,29459,crushing long middlegame pin sacrifice,https://lichess.org/6G7KeW8E#57,,
be1Pn,2R5/1p4pk/p5qp/3Q4/P7/7P/1r4PK/8 b - - 1 34,g6f6 d5e4 f6g6 c8h8 h7h8 e4g6,1961,76,86,226,crushing deflection endgame long,https://lichess.org/Hy7qi67W/black#68,,
beHT3,rn1qk2r/pp1nbpp1/4p1p1/1N1pP1N1/3p1Q2/7P/PPP2PP1/R1B2RK1 b kq - 1 14,e7g5 b5d6 e8e7 f4f7,1564,78,94,7727,mate mateIn2 opening short,https://lichess.org/mYmcIdL3/black#28,Pirc_Defense Pirc_Defense_Other_variations,
beSpN,r1bqk2r/pp6/2n1pnQ1/3p1p2/2PP4/2N5/PP3PPP/R3KB1R b KQkq - 2 13,e8d7 g6g7 c6e7 g7f6,1781,78,95,19129,advantage interference opening short,https://lichess.org/edThSFCb/black#26,Dutch_Defense Dutch_Defense_Normal_Variation,
bewiN,r2q2rk/pp1n1p1p/1np1p3/4P2Q/3P4/3B4/PPP3PP/R4RK1 b - - 2 18,d8g5 h5h7,767,81,100,497,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/nhbuY1yG/black#36,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation,
bezPL,r2qk2r/pppn1Bpp/2np4/2b1p1B1/4P3/2PP1b1P/PP3PP1/RN1QR1K1 b kq - 0 10,e8f7 d1b3 f7e8 g5d8,2384,77,92,2191,advantage middlegame short,https://lichess.org/Ha4CTOHB/black#20,Italian_Game Italian_Game_Giuoco_Piano,
bfRw4,8/pp3p2/3k4/1P6/2B1PK2/4N3/2Pr4/8 w - - 5 50,c4f7 d2f2 f4g4 f2f7,770,90,85,280,crushing endgame short skewer,https://lichess.org/dxWYDYxM#99,,
bff6Z,8/8/1p5p/4k3/1PP1bp2/2K2B2/7P/8 w - - 4 40,f3e2 e4g2 e2d3 f4f3,2327,81,90,1554,bishopEndgame crushing endgame master quietMove short,https://lichess.org/nrDkEo0X#79,,
bfuXS,5r2/pp2k3/1q1p1pbr/2nP3p/3QP2P/1PN2P1B/P7/R3K1R1 w Q - 6 24,h3e6 c5d3 d4d3 b6g1,1930,75,82,261,advantage deflection discoveredAttack middlegame short skewer,https://lichess.org/zyTsvVJU#47,,
bgUYT,3r4/1p6/2k1Q2p/4p1p1/P7/2q5/2P1p1PP/1R5K b - - 1 37,d8d6 e6c8 c6d5 c8c3,1580,78,94,12622,crushing endgame short skewer,https://lichess.org/CqtZOa0i/black#74,,
bggUL,2k1r3/ppp3Q1/3p4/5K2/8/8/P1P1pbP1/4R3 w - - 2 38,g7f7 e8e5 f5g4 f2e1 f7g8 c8d7,1359,79,94,724,crushing endgame long,https://lichess.org/xyACtIke#75,,
bgiJA,r7/1p2N3/6R1/4B2P/1nP3Pk/p4P2/8/1K6 w - - 2 38,h5h6 a3a2 b1c1 b4d3 c1d2 d3e5,1442,76,94,2315,advancedPawn crushing endgame exposedKing fork long,https://lichess.org/ihbJj6Tx#75,,
bgvyh,r4r2/5kpQ/b1p1p2p/p2p4/3P1Pq1/6P1/PPB4P/R4R1K w - - 1 24,f1f2 f8h8 c2d1 g4d1 a1d1 h8h7,1495,79,93,5484,crushing long middlegame,https://lichess.org/Tuaw6lGo#47,,
bhjpU,r2qk2r/1pp1ppbp/p1n3p1/4P3/3P1Pb1/2N2N2/PPP3BP/R2QK2R b KQkq - 2 11,c6d4 d1d4 d8d4 f3d4,1330,82,90,592,advantage opening short,https://lichess.org/Rv86Bcf5/black#22,Rapport-Jobava_System Rapport-Jobava_System_Other_variations,
bhluU,3R4/5kp1/7p/p3p3/2p1Q1N1/4Pn2/5P2/q2K4 w - - 8 42,d1e2 a1e1 e2f3 e1h1 f3e2 h1e4,2070,93,91,535,crushing deflection endgame long sacrifice skewer,https://lichess.org/HBINmeey#83,,
bhv8n,r2qr1k1/ppp3bp/3p1np1/6N1/4NBn1/4P3/PPP1QPP1/2KR3R b - - 3 14,f6e4 e2c4 d6d5 d1d5,1814,77,96,3930,crushing middlegame short,https://lichess.org/NsG4V7vx/black#28,Queens_Pawn_Game Queens_Pawn_Game_Modern_Defense,
bidfp,r1bq1r2/pp3ppk/4pb2/2P3N1/7P/8/P1P2PP1/1R1Q1K1R b - - 1 15,f6g5 h4g5 h7g6 d1h5,1562,76,92,344,advantage discoveredAttack discoveredCheck middlegame short,https://lichess.org/YmvR2CJP/black#30,French_Defense French_Defense_Rubinstein_Variation,
bipoL,rnq3k1/p3p1bp/3PNrp1/1pp2p2/4p3/1B2P3/PPP3PP/R2Q1RK1 b - - 0 19,f6e6 d6d7 c8d7 d1d7 b8d7 b3e6,2012,77,88,345,advancedPawn advantage kingsideAttack long middlegame pin,https://lichess.org/PS8dcQX1/black#38,,
bjZqD,1r1r1k2/3b1p1p/p1p1pQp1/4P3/4BP2/1P1R4/P1q3PP/3R3K w - - 0 26,d3d7 c2d1 d7d1 d8d1,1335,79,92,3710,backRankMate mate mateIn2 middlegame short xRayAttack,https://lichess.org/rBndJvmE#51,,
bjdVv,r1n2k1r/pp1b1ppp/1qn1p3/1N1pP3/5P2/1N6/PPPQ2PP/R3KB1R b KQ - 4 13,c6e5 f4e5 d7b5 d2b4 c8e7 b4b5 b6b5 f1b5,2318,91,89,616,advantage master opening veryLong,https://lichess.org/Lj6ViKZi/black#26,French_Defense French_Defense_Winawer_Variation,
bkjo8,8/4k3/4P3/3K3R/pp2r3/8/8/8 b - - 2 50,e4e6 h5h7 e7f6 h7h6 f6f5 h6e6,938,79,99,714,crushing endgame exposedKing long rookEndgame,https://lichess.org/ZHbShTQ8/black#100,,
blJqx,r2q1r2/pbpnb1pk/1p2pp2/4P1N1/3P3P/2P5/P2BQPP1/R3K2R b KQ - 1 15,f6g5 h4g5 h7g8 h1h8 g8h8 e2h5 h8g8 g5g6 d7f6 e5f6 f8f6 h5h7 g8f8 h7h8,2303,85,75,123,attraction discoveredAttack discoveredCheck mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/uOOWZVLZ/black#30,Queens_Gambit_Declined Queens_Gambit_Declined_Normal_Defense,
blzV0,8/R1k5/4r1pp/1pp2p2/4nP2/8/7P/R4K2 b - - 3 39,c7d6 a1d1 d6c6 a7a6 c6c7 a6e6,2102,75,87,419,crushing endgame long skewer,https://lichess.org/sloFK1Wn/black#78,,
bm4B9,4R3/pp4r1/2n1p3/3nk3/3p2PP/5RK1/PP6/8 b - - 0 34,d5f6 f3f5 e5d6 f5f6,1864,75,88,598,crushing deflection endgame pin short,https://lichess.org/3UoleSeq/black#68,,
bmFnZ,5rk1/5pp1/2R1p1n1/2bpP2p/2q4P/4BNP1/5P2/Q5K1 b - - 0 32,c4e2 e3c5 e2f3 c5f8,1440,78,91,2417,advantage hangingPiece middlegame short,https://lichess.org/ST5HGbsr/black#64,,
bmqSb,3rk2r/1p2np1p/p1n2p2/4p3/4N3/8/PPP2PPP/R1B2RK1 b k - 0 15,f6f5 e4f6 e8f8 c1h6,1048,76,87,308,mate mateIn2 middlegame short,https://lichess.org/kgcgjUQk/black#30,Sicilian_Defense Sicilian_Defense_Lowenthal_Variation,
bmtZL,4r1k1/2q1rppp/1p1p1n2/p1pPP3/P1N5/5QP1/1P1N1PKP/4R3 b - - 0 24,d6e5 d5d6 c7d7 d6e7,1420,76,74,120,advancedPawn advantage fork master middlegame short,https://lichess.org/9sM2IFJY/black#48,,
bnSpy,r2r4/5p2/3p1kp1/2p1q3/pp2P1PQ/5P2/PP6/1K1R3R b - - 2 36,e5g5 d1d6 d8d6 e4e5 f6e5 h4g5,1970,80,92,140,attraction crushing deflection endgame long pin sacrifice,https://lichess.org/X5V9msMG/black#72,,
bntJx,r3k1nr/pp3ppp/2n1b3/2bN2B1/8/5N2/PqP1QPPP/R3KB1R w KQkq - 0 10,d5c7 e8d7 e2d1 d7c7 g5f4 c7c8,2032,88,89,533,crushing defensiveMove long opening,https://lichess.org/wMCpeDB8#19,French_Defense French_Defense_Two_Knights_Variation,
bonaW,3rk1nr/ppp2ppp/2pbbq2/8/N3P3/5P2/PPP1Q1PP/R1B1KB1R w KQk - 5 10,e2e3 f6h4 e3f2 d6b4 c2c3 d8d1 e1d1 h4f2,2173,77,83,354,clearance crushing deflection exposedKing opening pin veryLong,https://lichess.org/IalEBlkl#19,Scotch_Game Scotch_Game_Other_variations,
booSY,7r/p3kp2/1p6/5p2/3Pq1p1/1P4P1/PB5p/2RQ1R1K w - - 0 30,f1f3 g4f3 d1c2 f3f2 c2e4 f5e4,1910,78,92,1395,advancedPawn advantage discoveredAttack discoveredCheck endgame exposedKing long,https://lichess.org/fL7DIfQr#59,,
bpCEH,3r3k/p5bp/2n2q2/1pp5/5r2/2P1NN1P/PPQ1RRP1/6K1 w - - 3 30,e3d5 d8d5 e2e8 g7f8,1003,77,97,524,advantage hangingPiece master middlegame short,https://lichess.org/xcTyDkED#59,,
bpHcN,2k5/P7/8/6R1/2p3P1/3p4/r7/3K4 b - - 0 44,a2a7 g5g8 c8b7 g8g7,1682,78,94,3237,crushing endgame master masterVsMaster rookEndgame short,https://lichess.org/j8F46uMp/black#88,,
bpLr3,2r3k1/4q1pp/8/4P3/p5PP/Pn1Q4/2r5/1K1RR3 b - - 2 34,e7a3 d3d5 g8h8 d5d8 a3f8 d8f8 c8f8 b1c2,1650,74,81,179,advantage middlegame veryLong,https://lichess.org/Wrz9VaPV/black#68,,
bpnip,r6r/1bqnbkp1/p2pp3/2n5/3NP1Q1/2p4P/PPP2BB1/3R1RK1 b - - 1 19,c3b2 d4e6 c5e6 f2b6 e7f6 b6c7,2280,77,91,4078,advantage discoveredAttack discoveredCheck long middlegame sacrifice,https://lichess.org/nZM1ieN4/black#38,Sicilian_Defense Sicilian_Defense_Najdorf_Variation,
bq0CY,r1b1k2r/1p3pp1/p3p1p1/2bpP3/2q2P2/1R6/P2BN1PP/3Q1R1K b kq - 5 18,c4a4 b3h3 a4d1 h3h8 e8d7 f1d1,2212,77,95,4100,crushing long middlegame sacrifice,https://lichess.org/QcTESssu/black#36,French_Defense French_Defense_La_Bourdonnais_Variation,
bq9XA,8/3n4/K1N4p/1Pk2P2/7P/8/8/8 w - - 1 42,b5b6 c5c6 b6b7 d7c5 a6a7 c5b7,2193,77,95,1087,crushing endgame hangingPiece knightEndgame long,https://lichess.org/iJRBsGkr#83,,
brWBJ,r4rk1/5ppp/b4n2/4pP2/P1BqP3/1P1P2Q1/6PP/2R2R1K b - - 2 24,f8c8 c4a6 c8c1 f1c1,1371,76,87,1229,crushing master middlegame short,https://lichess.org/aquS5CPA/black#48,,
bsUsn,4b1k1/7p/p2q1rp1/1p1p3R/5P2/P1P5/1P4QP/6RK w - - 0 36,g2d5 d6d5 h5d5 e8c6,1143,76,89,892,advantage endgame pin short,https://lichess.org/eKJUZN7X#71,,
bsvYH,8/1B3ppk/7p/B1R5/3Pp3/4nb2/6rP/2R2K2 w - - 0 39,f1e1 g2e2,1565,86,89,469,mate mateIn1 middlegame oneMove operaMate vukovicMate,https://lichess.org/HIQ5DYs5#77,,
btG0s,1r5k/1rp3p1/3p3p/p1p1p3/4P1Q1/2P1qP1P/PP1R2P1/K2R4 w - - 0 28,g2g3 b7b2 d2b2 e3c3 d1b1 a5a4,1994,78,92,421,capturingDefender crushing defensiveMove endgame long pin sacrifice,https://lichess.org/MlEe6LDW#55,,
